max_dropouts,min_thickness,max_ph_offset,drop_points,chip_run,dropout_run,dropout_run_relaxed,shiner_run,any_defect_run,any_defect_relaxed,SubID,label
0.0,2.3,3.1706,0,0,0,0,0,0,0,260716806825,1
0.0,2.32,3.2346,0,0,0,0,0,0,0,260716806826,1
2.0,2.12,3.555,0,0,0,0,0,0,1,260716806898,1
0.0,2.34,5.5443,0,0,0,0,0,0,0,260716806941,1
3.0,2.24,2.3197,0,0,0,0,0,0,1,260716806952,1
0.0,2.28,3.3743,0,0,0,0,0,0,0,260716810455,1
2.0,2.28,3.2683,0,0,0,0,0,0,0,260716810504,1
0.0,2.46,4.0454,0,0,0,0,0,0,0,260716811101,1
0.0,2.4,2.7578,0,0,0,0,0,0,0,260716811312,1
0.0,2.4,3.7626,0,0,0,0,0,0,0,260716811580,1
3.0,2.42,3.6037,0,0,0,0,0,0,0,260716811952,1
2.0,2.4,3.362,0,0,0,0,0,0,0,260716812010,1
4.0,2.48,3.1151,0,0,0,0,0,0,0,260716812337,1
2.0,2.3,6.0781,0,0,0,0,0,0,0,260716812354,1
2.0,2.34,5.1996,0,0,0,0,0,0,0,260716813069,1
195.0,2.34,3.2226,1,0,0,0,0,0,0,260716813299,1
800.0,0.0,9.1174,58,1,1,1,1,1,1,260716813585,1
3.0,2.18,5.2146,0,0,0,0,0,0,1,260716813587,1
2.0,2.46,3.0063,0,0,0,0,0,0,0,260716813641,1
0.0,2.24,4.2556,0,0,0,0,0,0,1,260716814248,1
2.0,2.34,4.4528,0,0,0,0,0,0,0,260716814279,1
2.0,2.3,3.3792,0,0,0,0,0,0,0,260716814965,1
3.0,2.34,5.3503,0,0,0,0,0,0,0,260716815381,1
2.0,2.36,5.7054,0,0,0,0,0,0,0,260716815514,1
3.0,2.3,3.5931,0,0,0,0,0,0,0,260716815575,1
0.0,2.36,4.0035,0,0,0,0,0,0,0,260716815790,1
0.0,2.34,2.5313,0,0,0,0,0,0,0,260716815791,1
3.0,2.22,4.0022,0,0,0,0,0,0,1,260716816221,1
0.0,1.82,7.094,0,0,0,0,0,0,1,260716816834,1
0.0,2.38,4.0519,0,0,0,0,0,0,0,260716816861,1
0.0,2.32,6.0052,0,0,0,0,0,0,0,260717790001,1
3.0,2.36,3.0067,0,0,0,0,0,0,0,260717790539,1
5.0,2.24,2.8553,0,0,0,0,0,0,1,260717790565,1
0.0,2.34,4.0176,0,0,0,0,0,0,0,260717790713,1
0.0,2.4,5.3255,0,0,0,0,0,0,0,260717790859,1
4.0,2.2,4.9594,0,0,0,0,0,0,1,260717790866,1
0.0,2.22,4.0504,0,0,0,0,0,0,1,260717791072,1
4.0,2.3,4.6825,0,0,0,0,0,0,0,260717791122,1
2.0,2.16,4.2642,0,0,0,0,0,0,1,260717791310,1
0.0,2.24,5.096,0,0,0,0,0,0,1,260717791400,1
3.0,2.34,3.0344,0,0,0,0,0,0,0,260717791777,1
2.0,2.3,3.4993,0,0,0,0,0,0,0,260717792001,1
0.0,2.2,2.162,0,0,0,0,0,0,1,260717792127,1
7.0,2.2,4.0248,0,0,0,0,0,0,1,260717792342,1
4.0,2.32,3.1672,0,0,0,0,0,0,0,260717792390,1
3.0,2.28,3.7183,0,0,0,0,0,0,0,260717792558,1
